Order ID,Order Date,Segment,State,Product,Category,Quantity,Unit Price,Discount,Sales,Shipping,Profit,Channel,Status
ORD-10001,2025-05-06,Consumer,FL,Phone Case,Accessories,1,12.5,0.15,10.62,4.99,5.629999999999999,Amazon,Cancelled
ORD-10002,2025-01-17,Consumer,FL,Notebook Set,Office,1,9.99,0.1,8.99,6.99,2.0,TikTok,Returned
ORD-10003,2025-04-23,Consumer,NC,Wireless Earbuds,Electronics,2,29.99,0,59.98,6.99,52.989999999999995,Website,Delivered
ORD-10004,2025-04-21,Consumer,FL,Water Bottle,Sports,1,18.5,0,18.5,0,13.5,Website,Delivered
ORD-10005,2026-01-09,Consumer,FL,Running Socks 3pk,Apparel,2,11.0,0,22.0,0,22.0,Instagram,Delivered
ORD-10006,2025-10-23,Consumer,FL,Notebook Set,Office,1,9.99,0.2,7.99,4.99,-2.0,Website,Delivered
ORD-10007,2025-07-14,Consumer,CA,Phone Case,Accessories,1,12.5,0.2,10.0,0,10.0,Website,Delivered
ORD-10008,2025-12-26,Corporate,FL,Running Socks 3pk,Apparel,1,11.0,0,11.0,4.99,6.01,Website,Returned
ORD-10009,2025-05-19,Corporate,GA,Coffee Beans 1lb,Grocery,1,14.99,0.05,14.24,6.99,7.25,Website,Delivered
ORD-10010,2025-02-03,Consumer,TX,Wireless Earbuds,Electronics,1,29.99,0.05,28.49,4.99,23.5,Instagram,Delivered
ORD-10011,2025-05-07,Corporate,NC,LED Strip Lights,Home,1,22.0,0,22.0,0,22.0,Instagram,Returned
ORD-10012,2025-09-18,Consumer,FL,Water Bottle,Sports,1,18.5,0,18.5,0,18.5,Website,Delivered
ORD-10013,2025-07-17,Consumer,CA,Yoga Mat,Sports,3,24.0,0.05,68.4,0,68.4,TikTok,Delivered
ORD-10014,2026-01-29,Corporate,TX,Phone Case,Accessories,3,12.5,0.1,33.75,4.99,23.76,Instagram,Delivered
ORD-10015,2025-09-14,Consumer,FL,LED Strip Lights,Home,1,22.0,0.15,18.7,4.99,13.709999999999999,Website,Cancelled
ORD-10016,2025-07-11,Consumer,FL,Notebook Set,Office,2,9.99,0,19.98,0,19.98,Instagram,Delivered
ORD-10017,2025-05-03,Consumer,GA,Phone Case,Accessories,1,12.5,0.2,10.0,4.99,5.01,Website,Delivered
ORD-10018,2025-03-07,Corporate,CA,LED Strip Lights,Home,1,22.0,0.2,17.6,0,17.6,Website,Delivered
ORD-10019,2025-10-04,Corporate,GA,Notebook Set,Office,2,9.99,0.05,18.98,0,18.98,Instagram,Cancelled
ORD-10020,2025-03-03,Consumer,GA,Running Socks 3pk,Apparel,2,11.0,0.1,19.8,6.99,7.81,Website,Returned
ORD-10021,2025-01-04,Consumer,FL,Notebook Set,Office,1,9.99,0.1,8.99,0,8.99,Website,Delivered
ORD-10022,2025-12-09,Consumer,GA,Phone Case,Accessories,2,12.5,0,25.0,4.99,20.009999999999998,Amazon,Returned
ORD-10023,2025-07-28,Consumer,FL,Protein Bar Box,Grocery,2,19.99,0,39.98,6.99,27.99,Instagram,Delivered
ORD-10024,2025-12-11,Corporate,FL,Water Bottle,Sports,2,18.5,0.05,35.15,0,30.15,Amazon,Delivered
ORD-10025,2025-10-02,Consumer,FL,Phone Case,Accessories,1,12.5,0,12.5,0,12.5,Website,Delivered
ORD-10026,2025-01-26,Corporate,FL,Coffee Beans 1lb,Grocery,1,14.99,0.05,14.24,0,14.24,Website,Delivered
ORD-10027,2025-07-25,Consumer,FL,Water Bottle,Sports,2,18.5,0.05,35.15,0,35.15,Instagram,Delivered
ORD-10028,2025-03-21,Consumer,NC,LED Strip Lights,Home,1,22.0,0.05,20.9,6.99,13.909999999999998,Website,Returned
ORD-10029,2025-01-30,Consumer,CA,Notebook Set,Office,1,9.99,0.15,8.49,4.99,3.5,TikTok,Delivered
ORD-10030,2025-02-05,Corporate,FL,Wireless Earbuds,Electronics,2,29.99,0,59.98,0,59.98,Website,Delivered
ORD-10031,2025-11-14,Consumer,NY,Phone Case,Accessories,2,12.5,0,25.0,0,25.0,TikTok,Returned
ORD-10032,2025-05-03,Consumer,NY,Running Socks 3pk,Apparel,1,11.0,0,11.0,4.99,1.01,Amazon,Delivered
ORD-10033,2025-01-05,Consumer,FL,LED Strip Lights,Home,1,22.0,0.2,17.6,0,12.6,Website,Returned
ORD-10034,2025-05-06,Consumer,NC,Desk Lamp,Home,1,32.0,0,32.0,0,32.0,TikTok,Cancelled
